Year,Month,Day,Achnanthes species,Actinoptychus senarius,Actinoptychus species,Actinoptychus splendens,Amphora species,Asterionellopsis glacialis,Asterionellopsis kariana,Asterolampra marylandica,Asteromphalus heptactis,Asteromphalus hookeri,Asteromphalus species,Aulacodiscus species,Aulacoscira granulata,Bacteriastrum delicatulum,Bacteriastrum elongatum,Bacteriastrum furcatum,Bacteriastrum solitarium,Bacteriastrum species,Biddulphia biddulphiana,Biddulphia sp. 1,Biddulphia sp. 2,Biddulphia species,Cerataulina pelagica,Cerataulina species,Cerataulus species,Chaetoceros aequatorialis,Chaetoceros affinis,Chaetoceros atlanticus,Chaetoceros borealis,Chaetoceros cinctus,Chaetoceros compressus,Chaetoceros concavicornis,Chaetoceros constrictus,Chaetoceros contortus,Chaetoceros convolutus,Chaetoceros costatus,Chaetoceros criophilus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros decipiens,Chaetoceros densus,Chaetoceros diadema,Chaetoceros didymus,Chaetoceros difficilis,Chaetoceros eibenii,Chaetoceros furcellatus,Chaetoceros gracilis,Chaetoceros holsaticus,Chaetoceros laciniosus,Chaetoceros lorenzianus,Chaetoceros messanensis,Chaetoceros pelagicus,Chaetoceros peruvianus,Chaetoceros pseudocrinitus,Chaetoceros radicans,Chaetoceros similis,Chaetoceros simplex,Chaetoceros socialis,Chaetoceros sp. 1,Chaetoceros species,Chaetoceros teres ,Chaetoceros vanheurckii,Climacosphenia elongata,Climacosphenia species,Cocconeis costata,Cocconeis scutellum,Cocconeis species,Corethron criophilum,Coscinodiscus centralis,Coscinodiscus granii,Coscinodiscus radiatus,Coscinodiscus sp. 1,Coscinodiscus species,Cylindrotheca closterium,Dactyliosolen antarcticus,Dactyliosolen fragilissimus,Dactyliosolen species,Dactyliosolen tenuijunctus,Detonula pumila,Ditylum brightwellii,Ditylum species,Eucampia zodiacus,Eunotia species,Eupodiscus sp. 1,Fragilaria islandica,Fragilaria species,Fragilaria striatula,Fragilariopsis doliolus,Grammatophora marina,Grammatophora species,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Helicotheca tamesis,Hemiaulus hauckii,Hemiaulus sinensis ,Hemiaulus sp. 1,Hemiaulus species,Isthmia nervosa,Isthmia species,Lauderia annulata,Leptocylindrus danicus,Leptocylindrus mediterraneus,Leptocylindrus minimus,Licmophora abbreviata,Licmophora species,Lithodesmium undulatum,Melosira arctica,Melosira dubia,Melosira species,Meuniera membranacea,Navicula species,Neocalyptrella robusta,Nitzschia longissima,Odontella aurita,Odontella longicruris,Odontella mobiliensis,Paralia sulcata ,Planktoniella sol,Pleurosigma species,Proboscia alata,Proboscia indica,Psammodiscus nitidus,Pseudo-nitzschia australis,Pseudo-nitzschia delicatissima,Pseudosolenia calcar-avis,Rhabdonema adriaticum ,Rhabdonema arcuatum,Rhabdonema species,Rhizosolenia hebetata f. semispina,Rhizosolenia imbricata,Rhizosolenia setigera,Rhizosolenia sp. 1,Rhizosolenia sp. 2,Rhizosolenia species,Rhizosolenia styliformis,Skeletonema costatum,Stephanopyxis nipponica,Stephanopyxis palmeriana,Stephanopyxis species,Stephanopyxis turris,Striatella unipunctata,Surirella species,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassiosira aestivalis,Thalassiosira anguste-lineata,Thalassiosira bioculata,Thalassiosira decipiens,Thalassiosira eccentrica,Thalassiosira gravida,Thalassiosira hyalina,Thalassiosira nordenskioeldii,Thalassiosira pacifica,Thalassiosira punctigera,Thalassiosira rotula,Thalassiosira sp. 1,Thalassiosira species,Thalassiosira subtilis,Thalassiothrix longissima,Thalassiothrix sp. 1,Thalassiothrix sp. 2,Thalassiothrix species,Triceratium species,Tropidoneis species
1922 ,2 ,12 ,,5 ,,,,91 ,,,,,,,,,,,,,,,,,37 ,,,,,,,,,,,,,,,94 ,,1630 ,14 ,,,14 ,,,,,,,,,,,,,,2 ,48 ,229 ,864 ,,,,,,,,,,5 ,,,105 ,2 ,,,,18 ,,21 ,,57 ,,,,64 ,,,7 ,,,,32 ,,,,,,,,25 ,25 ,,,2 ,,21 ,,,,,27 ,,,,11 ,5 ,,,,7 ,,,503 ,,2 ,,,,,,2 ,14 ,,,,,,,,,,,,9 ,,,,7 ,,,,,,,,,,,5 ,,2 ,,,
1922 ,2 ,19 ,,,,,,347 ,,,,,,,,,,382 ,,,,,,,32 ,,,11 ,517 ,,,,1297 ,,,,,,14 ,453 ,,5106 ,218 ,,,91 ,,,,,,,,,,16 ,,,,2 ,815 ,9133 ,5191 ,,,,,,,,2 ,,2 ,,,98 ,62 ,,,,,,7 ,,745 ,,,,,,,,23 ,,,75 ,,,,43 ,,,,91 ,1646 ,,,2 ,,43 ,,,,,355 ,,,,27 ,5 ,,,2 ,43 ,,,1075 ,,,,,,,,43 ,14 ,,,5 ,197 ,,,21 ,,,2 ,,69 ,,,,57 ,,,,,,,,,,,5 ,,41 ,,,
1922 ,2 ,26 ,,18 ,,,,640 ,,,2 ,,,,,,,146 ,,,,,,9 ,82 ,,,39 ,158 ,,,,,,,,,,,3955 ,,9853 ,82 ,,,41 ,,,,,,,,,,,,,,7 ,537 ,1069 ,1518 ,,,,,,,,,,,,,160 ,75 ,,,,,,37 ,,1314 ,,,,,,,,9 ,,,128 ,,14 ,,242 ,,,,149 ,2254 ,,,2 ,,30 ,,,,,304 ,,,,9 ,5 ,,,,64 ,,,944 ,,,,,,,,18 ,41 ,,,21 ,251 ,,,5 ,,,,,73 ,,,,,,,,7 ,,,,,,,,,43 ,,,
1922 ,3 ,5 ,,5 ,,,,50 ,,,2 ,,,,,,,761 ,,,,,,46 ,9 ,,,,14 ,,,,,,,,,,,10635 ,,1221 ,215 ,,,302 ,,,,,,,,,,,,,,9 ,402 ,1847 ,1666 ,,,,,,,,,,,,,247 ,34 ,,,,11 ,,130 ,,769 ,,,,,,,,,,,393 ,,216 ,,411 ,,,,183 ,971 ,,,5 ,,265 ,,,,,231 ,,,,73 ,64 ,,,,302 ,,,533 ,,,,,,,,,7 ,,,27 ,338 ,,,87 ,,,,,91 ,,,,,,14 ,,,,,,,,,,,334 ,,,
1922 ,3 ,12 ,,,,,,48 ,,,57 ,,,,,,,371 ,,,,,,,,,,7 ,,,,,,,,,,,14 ,10853 ,,1294 ,303 ,,,159 ,,,,,,,,,,,,,,11 ,503 ,1198 ,2386 ,,,,,,,,,,,,,200 ,18 ,,,,,,135 ,,2966 ,,,,,,,,,,,697 ,,,,1017 ,,,,66 ,27 ,,,10 ,,302 ,,,,,336 ,,,,189 ,80 ,,,,64 ,,,1015 ,,,,,,,,5 ,16 ,,,5 ,811 ,,,232 ,,,,,384 ,,,,163 ,,118 ,,,,,,,,,5 ,,775 ,,,
1922 ,3 ,19 ,,,,,,,,,11 ,,,,,,,21 ,,,5 ,,,,,,,,,,,,,,,,,,,210 ,,21 ,34 ,,,,,,,,,,,,,,,,,,,,347 ,,,,,,,,,,,,,98 ,5 ,,,,,,14 ,,137 ,,,,18 ,,,,,,,7 ,,,,82 ,,,,16 ,,,,14 ,,14 ,,,,,16 ,,,,5 ,7 ,,,2 ,2 ,,,25 ,,,,,,,,2 ,,,,,,,,,,,,,53 ,,,,7 ,,,,,,,,,,,2 ,,37 ,,,
1922 ,3 ,26 ,,2 ,,,,,,,5 ,,,,,,,62 ,,,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 ,,,78 ,,,,,,,,,,,,,64 ,2 ,,,,,,,,14 ,,,,,,,14 ,2 ,,,9 ,,,,,,,,11 ,,,,5 ,,,,,,,18 ,,,,5 ,5 ,,,2 ,9 ,,,18 ,,,,,,,,,,,,,,,,5 ,,,,,18 ,,,,,,,,,,,,,,,,,23 ,,,
1922 ,4 ,2 ,,,,,,,,,5 ,,,,,,,183 ,,,2 ,,,,,,,,,,,,,,,,,,,197 ,,59 ,,,,41 ,,,,,,,,,,,,,,,,14 ,535 ,,,,,,,,,,5 ,,,34 ,,,,,,,11 ,,71 ,,,,,,,,7 ,,,5 ,,,,,,,,7 ,,,,5 ,,23 ,,,,,16 ,,,,21 ,14 ,,,,21 ,,,75 ,,,,,,,,,,,,,,,,,,,,,7 ,,,,,,,,,,,,,,,,,7 ,,,
1922 ,4 ,9 ,,,,,,,,,5 ,,,,,,,224 ,,,,,,9 ,14 ,,,,,,,,,,,,,,14 ,14 ,,1143 ,87 ,,,,,,,,,,,,,,,,,,658 ,,123 ,,,,,,,,,,,,,78 ,,,,,,,14 ,,224 ,,,,32 ,,,,,,,,,,,,,,,27 ,,,,,,,,,,,14 ,,,,18 ,9 ,,,,18 ,,,18 ,,,,,,,,,,,,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 ,4 ,16 ,,,,,,73 ,,,,,,,,,,1087 ,,,11 ,,,9 ,9 ,,,6 ,,,,,4457 ,,,,,,,2423 ,,878103 ,1344 ,,,468 ,,,,,,,,,,,,,,,28859 ,,33382 ,,,,,,,,,,,,,147 ,27 ,,,,,,,,3746 ,,,,17 ,,,,,,,291 ,,,,,,,,91 ,,,,19 ,,,,,,,81 ,,,,6 ,,,,,310 ,,,394 ,,,,,,,,,,,,,,,,,,,,,46 ,,,,14 ,,,,,,,,,,,,,517 ,,,
1922 ,4 ,23 ,18 ,,,,,,,,23 ,,,,,,,1118 ,,,,,,274 ,14 ,,,,,,,,13162 ,,,,,,,4387 ,,768715 ,3513 ,,,2834 ,,,,,,,,,,,,,,5 ,117614 ,3845 ,80700 ,,,,,,,5 ,,,,,,492 ,123 ,,,,23 ,,77 ,,3458 ,,,,,,,,23 ,,,939 ,,,,69 ,,,,317 ,,,,37 ,,,,,,,174 ,,,,,,,,32 ,438 ,,,2362 ,,,,,,,,23 ,410 ,,,,349 ,,,,,,,,82 ,,,,,,91 ,,,,,,,,254 ,,,519 ,,,
1922 ,4 ,30 ,16 ,,,,,,,,,,,,,,,,,,,,,11 ,34 ,,,,,,,,,,,,,,9 ,32 ,,417 ,18 ,,,25 ,,,,,,,,,,,,,,4 ,9 ,,565 ,7 ,,,,,,,,,,,,15 ,,,,,,,,,21 ,,,,,,,,2 ,,,172 ,,11 ,,,,,,,34 ,,,,,,,,,,16 ,,,,,,,,,68 ,,,23 ,,,,,,,,,45 ,,,,,,,,,,,,5 ,,,,,,,,,,,,,,,,,,,,
1922 ,5 ,7 ,,,,2 ,,,,,9 ,,,,,,,,,,,,,14 ,9 ,,,,,,,,,,,,,,,101 ,,7131 ,37 ,,,39 ,,,,,,,,,,,,,,2 ,75 ,,155 ,18 ,,,,,,2 ,,,,,,30 ,7 ,,,,,,2 ,,,,,,,,,,,,,30 ,,,,,,,,,,,,7 ,,39 ,,,,,27 ,,,,30 ,37 ,,,2 ,14 ,,,23 ,,,,,,,,,,,,2 ,,,,,,,,,9 ,,,,,,,,,,,,,,,5 ,,,,,
1922 ,5 ,14 ,,2 ,,,,,,,31 ,,,,,,,518 ,,,,,,,18 ,,,2 ,14 ,,,,9303 ,,,,,,,115 ,,1799 ,343 ,,,328 ,,,,,,,,,,,,,,,564 ,50 ,4359 ,,,,,,,,,,7 ,,,45 ,45 ,,,,,,14 ,,589 ,,,,,,,,,,,337 ,,,,34 ,,,,27 ,570 ,,,,,,,,,,35 ,,,,,2 ,,,,94 ,,,1854 ,,,,,,,,,14 ,,,,,,,7 ,,,,,18 ,,,,,,,,,,,,,,,9 ,,,,,
1922 ,5 ,21 ,,,,,,55 ,,,14 ,,,,,,,146 ,,,,,,27 ,55 ,,,,,,,,2613 ,,,,,,27 ,101 ,,1072 ,178 ,,,476 ,,,,,,,,,,,,,,,384 ,,3581 ,,,,,,,,,,5 ,,,87 ,242 ,,,,,,9 ,,4174 ,,,,,,,,18 ,,,864 ,,,,50 ,,,,95 ,1333 ,,,5 ,,,,,,,123 ,,,,41 ,18 ,,,14 ,149 ,,,5987 ,,,,,,,,,,,,,297 ,,,73 ,,,,,59 ,,,,,,,,,,,,,,,9 ,,,,,
1922 ,5 ,28 ,,,,,,,,,2 ,,,,,,,39 ,,,,,,14 ,,,,,,,,,64 ,,,,,,,,,32 ,66 ,,,50 ,,,,,,,,,,,,,,,,,335 ,14 ,,,,,,,,,,,,11 ,27 ,,,,,,,,34 ,,,,,,,,,,,50 ,,,,,,,,,46 ,,,2 ,,,,,,,23 ,,,,,11 ,,,,57 ,,,27 ,,,,,,,,,,,,,48 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 ,6 ,4 ,,,,,,,,,,,,,,,,7 ,,,,,,2 ,,,,,,,,,416 ,,,,,,,39 ,,71 ,37 ,,,91 ,,,,,,,,,,,,,,2 ,,,437 ,,,,,,,,,,,,,2 ,16 ,,,,,,2 ,,315 ,,,,,,,,18 ,,,,,,,,,,,,11 ,,,,,7 ,,,,,25 ,,,,,2 ,,,2 ,11 ,,,53 ,,,,,,,,,,,,,46 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 ,6 ,11 ,,,,2 ,,,,,2 ,,,,,,,48 ,,,,,,2 ,,,,5 ,,,,,824 ,,,,,,7 ,,,7515 ,1721 ,,,1048 ,,,,,,,,,,,,,5 ,73 ,1289 ,181 ,9886 ,,,,,,,,,,,,,27 ,69 ,,,,,,,,59 ,,,,,,,,,,,11 ,,,,,,,,14 ,334 ,,,,,32 ,,,,,2 ,,,,2 ,16 ,,,9 ,69 ,,,203 ,,,,,,,,,27 ,,,11 ,203 ,,,,,,,,14 ,,,,,,,,,,,,,,,18 ,,,,,
1922 ,6 ,18 ,,,,,,9 ,,,5 ,,,,,,,158 ,,,,,,,389 ,2 ,,,,,,,19592 ,,,,,,41 ,78 ,,8271 ,3977 ,,,1646 ,,,,,,,,,,,,,,32 ,3214 ,2499 ,28618 ,,,,,,,,,,,,,18 ,94 ,,,,,,,,3375 ,,,,,,,,,,,14 ,,69 ,,,,,,139 ,1328 ,,,,,,,,,,18 ,,,,,,,,9 ,245 ,,,14574 ,,,,,,,,,,,,155 ,891 ,,,,,,,,,,,,,,,,,,,,,,,267 ,,,,,
1922 ,6 ,25 ,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,226 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 ,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 ,,,2 ,,,,,,,7 ,,,,,,,,,7 ,,,5 ,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 ,7 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 ,,,,,,,,,75 ,,,,,,,,,,9 ,,,,2 ,,,,,2 ,,,21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,
1922 ,7 ,9 ,,,,,,,,,2 ,,,,,,,14 ,,,,,,,,,,,,,,,345 ,,,,,,,27 ,,,16 ,,,,,,,,,,,,,,,,,5 ,,46 ,414 ,,,,,,,,,,,,,2 ,7 ,,,,,,,,7 ,,,,,,,,,,,128 ,,,,,,,,11 ,6074 ,,,,,,,,,,7 ,,,,,,,,,2 ,,,94 ,,5 ,,,,,,,11 ,,,7 ,11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 ,7 ,16 ,,2 ,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,9 ,,,,,,,,,7 ,,,5 ,,,,,,,2 ,,,,2 ,,,,2 ,2 ,,,27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 ,7 ,23 ,,5 ,,,,,,,,,,,,,,18 ,,,,,,,,,,,62 ,,,,739 ,,,,,,,66 ,,,,,,16 ,,,,,,,,,,,,,,,59 ,21 ,3801 ,,,,,,,,,,,,,2 ,2 ,,,,,,,,2 ,,,,,,,,,,,57 ,,,,,,,,2 ,343 ,,,7 ,,,,,,,5 ,,,,,,,,,,,,75 ,,2 ,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,
1922 ,7 ,30 ,,,,,,,,,2 ,,,,,,,80 ,,,,,,2 ,,,,,44 ,,,,371 ,,,,,,,144 ,,,2 ,,,,,,,,,,,,,,,,,,,,2219 ,,,,,,,,,,,,,,2 ,,,,,,,,4 ,,,,,,,11 ,,,,18 ,,,,,,,,,911 ,,,4 ,,14 ,,,,,11 ,,,,,2 ,,,,5 ,,,56 ,,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 ,8 ,6 ,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,18 ,,,,,,,,,,2 ,,,,,,,,2 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 ,8 ,13 ,,,,,,,,,,,,,,,,,,,,,,9 ,,,,2 ,16 ,,,,,,,,,,7 ,,,,,,,11 ,,,,,,,,,,,,,,,,,32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 ,,9 ,,,,,,,14 ,,,,,9 ,,,,,11 ,,,,,5 ,,,2 ,,,,14 ,,,,,,,,2 ,9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 ,8 ,20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,7 ,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 ,8 ,27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 ,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,5 ,,,,,,,,,,,,,,,5 ,,,,,,,14 ,,,,,,,,2 ,,,,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,
1922 ,9 ,3 ,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133 ,18 ,,,,,,,,,2 ,,,2 ,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,34 ,,,2 ,,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 ,9 ,10 ,,,,,,,,,,,,,,,,2 ,,,,,,5 ,,,,,,,,,476 ,,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,73 ,,,,,,,,,,,,,2 ,,,,,21 ,,,,,,,,,,,,,,,16 ,,,,,,,,,,,,7 ,,,,,,,,,,,,,,,2 ,,,,7 ,,,,,,,,,9 ,,,,,,,,,,,,5 ,,,,,,,,,,,,,,,,,,,,
1922 ,9 ,17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85 ,,,,,,,,,,,,,5 ,,,,,21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,5 ,,,,,,,,7 ,,,,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,
1922 ,9 ,24 ,,,,,,71 ,,,,,,,,,,231 ,,,,,,2 ,42 ,,,2 ,327 ,,,,2422 ,,,,,,,797 ,,,490 ,,,328 ,,,,,,,,,,3 ,,,,5 ,14 ,2693 ,4125 ,,,,,,,,,,2 ,,,24 ,19 ,,,,184 ,,21 ,,65 ,,,,,,,,,,,20 ,,14 ,,,,,,549 ,9 ,,,2 ,,11 ,,,,,14 ,,,,,,,,2 ,10 ,,,92 ,,,,,,,,,,,,20 ,63 ,,,2 ,,,,,27 ,,,,,,,,,,,,,118 ,,,,,,,
1922 ,10 ,1 ,,,,,,,,,2 ,,,,,,,16 ,,,,,,,11 ,,,,9 ,,,,7 ,,,,,,,49 ,,,7 ,,,62 ,,,,,,,,,,,,,,7 ,,114 ,679 ,,,,,,,,,,,,,11 ,30 ,,,,320 ,,16 ,,,,,,,,,,,,,18 ,,14 ,,,,,,7 ,41 ,,,2 ,,,,,23 ,,25 ,,,,,,,,5 ,39 ,,,43 ,,5 ,,,,,,,,,,21 ,18 ,,,,,,,,25 ,,,,,,,,,,,,,23 ,,,,,,,
1922 ,10 ,8 ,,,,,,,,,,,,,,,,82 ,,,,,,2 ,,,,,,,,,96 ,,,,,,,53 ,,9 ,50 ,,,69 ,,,,,,,,,,,,,,5 ,,226 ,949 ,,,,,,,,,,,,,9 ,14 ,,,,37 ,,11 ,,41 ,,,,,,,,,,,,,,,,,,,5 ,21 ,,,7 ,,,,,,,16 ,,,,,2 ,,,,16 ,,,146 ,,,,,,,,,,,,87 ,73 ,,,,,,,,53 ,,,,,,,,,,,,,11 ,,,,,,,
1922 ,10 ,15 ,,,,,,5 ,,,,,,,,,,57 ,,,,,,5 ,,,,,,,,,105 ,,,,,,,57 ,,,,,,,,,,,,,,,,,,,,,,16 ,281 ,,,,,,,,,,,,,25 ,5 ,,,,,,,,226 ,,,,9 ,,,,,,,,,,,,,,,5 ,7 ,,,5 ,,,,,,,16 ,,,,,16 ,,,7 ,16 ,,,43 ,,,,,,,,,,,,32 ,,,,,,,,,14 ,,,,,,,,,,,,,11 ,,,,,,2 ,
1922 ,10 ,22 ,2 ,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,11 ,,14 ,32 ,,,,,,,,,,,,,,,,,,,53 ,215 ,,,,,,,,,,,,,11 ,9 ,,,,,,,,30 ,,,,11 ,,,,,,,9 ,,,,,,,,,,,,,,,,,,,9 ,,,,5 ,5 ,,,,5 ,,,46 ,,,,,,,,,,,,18 ,,,,,,,,,37 ,,,,,,,,,,,,,,,,,,,,
1922 ,10 ,29 ,,2 ,,,,194 ,,,9 ,,,,,,,71 ,,,,,,7 ,11 ,,,,,,,,3966 ,,,,,,,885 ,,528 ,354 ,,,322 ,,,,,,,,,,,,,,,213 ,1107 ,3311 ,,,,,,,,,,2 ,,,43 ,78 ,,,,,,7 ,,633 ,,,,30 ,,,,,,,7 ,,7 ,,,,,,2 ,21 ,,,,,,,,,,64 ,,,,7 ,2 ,,,,85 ,,,1925 ,,,,,,,,5 ,,,,64 ,690 ,,,,,,5 ,,75 ,,,,,,,,,,,,,,,,,,,,
1922 ,11 ,5 ,,,,,,174 ,,,3 ,,,,,,,460 ,,,,,,,66 ,,,7 ,41 ,,,,15837 ,,,,,,,4431 ,,17139 ,2713 ,,,906 ,,,,,,,,,31 ,7 ,,,,11 ,845 ,8823 ,15874 ,,,,,,,,,,,,,78 ,173 ,,,,23 ,,17 ,,47623 ,,,,,,,,,,,128 ,,87 ,,,,,,93 ,266 ,,,,,,,,,,17 ,,,,,,,,,384 ,,,19729 ,,,,,,,,,23 ,,,283 ,4055 ,,,17 ,,,,,394 ,,,,,,14 ,,,,,,,125 ,39 ,3 ,,,,,
1922 ,11 ,12 ,,,,,,,,,,,,,,,,583 ,,,,,,,17 ,,,,55 ,,,,2226 ,,,,,,,4367 ,,8711 ,3399 ,,,760 ,,,,11 ,,,,,,,,,,14 ,974 ,7231 ,11088 ,,,,,,,,,,,,,82 ,64 ,,,,1143 ,,207 ,,219882 ,,,,,,,,,,,41 ,,,,,,,,,1663 ,,,,,,,,,,51 ,,,,,9 ,,,9 ,499 ,,,2850 ,,,,,,,,,,,,791 ,1946 ,,,,,,,,191 ,,,,,,,,,,,,,95 ,46 ,14 ,,,,,
1922 ,11 ,19 ,,,,,,,,,5 ,,,,,,,21 ,,,,,,2 ,,,,,,,,,98 ,,,,,,2 ,41 ,,41 ,82 ,,,,,,,,,,,,,2 ,,,,,,665 ,233 ,,,,,,,,,,,,,30 ,2 ,,,,71 ,,2 ,,948 ,,,,,,,,5 ,,,,,,,,,,,,25 ,,,,,9 ,,,,,9 ,,,,,2 ,,,,14 ,,,233 ,,,,,,,,2 ,,,,206 ,32 ,,,,,,2 ,,,,,,,,,,,,,,,,,2 ,,,,,
1922 ,11 ,26 ,5 ,,,,,,,,7 ,,,,,,,,,,,,,18 ,,2 ,,,,,,,59 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 ,7 ,,,,,,,,,2 ,,,9 ,,,,,16 ,,,,34 ,,,,,,,,14 ,,,,,,,,,,,,,,,,,5 ,,,,,16 ,,,,,2 ,,,2 ,,,,69 ,,,,,,,,,,,,41 ,,,,,,,5 ,,,,,,,,,,,,,,,,,,,,,,
1922 ,12 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 ,11 ,,,,,,,,,,,,,9 ,2 ,,,,,,9 ,,,,,,,,,,,,,,,,,,,,,5 ,,,,,,5 ,,,,,5 ,,,,2 ,5 ,,,2 ,,,,7 ,,,,,,,,,,,,5 ,,,,,,,5 ,,,,,,,,,,,,,,,,,,,,,2 ,
1922 ,12 ,10 ,,,,,,,,,,,,,,,,,,,,,,7 ,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 ,2 ,,,,9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 ,
1922 ,12 ,17 ,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 ,,,,,11 ,,2 ,,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 ,,,,,,,2 ,2 ,,,,,,,,,,,,,,,,2 ,,,,,,,5 ,,,,,,,,,,,,,,,,,,,,,,
1922 ,12 ,24 ,2 ,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,91 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 ,,,,,,,,,,,,,,,14 ,2 ,,,,62 ,,2 ,,,,,,,,,,,,,,,11 ,,,,,,,,,,,2 ,,,,,,2 ,,,,,,,,9 ,,,,,,,,,,,,,,,,,16 ,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,
1922 ,12 ,31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 ,1 ,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 ,1 ,14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
